,year,month,day,hour,date,pm2.5,DEWP,TEMP,PRES,atm_pressure,cbwd,Iws,Is,Ir,Season,month_name,direction
0,2010,1,1,0,2010-01-01,129.0,-21,-11.0,1021.0,1.007727,NW,1.79,0,0,Winter,Jan,315
1,2010,1,1,1,2010-01-01,129.0,-21,-12.0,1020.0,1.00674,NW,4.92,0,0,Winter,Jan,315
2,2010,1,1,2,2010-01-01,129.0,-21,-11.0,1019.0,1.0057530000000001,NW,6.71,0,0,Winter,Jan,315
3,2010,1,1,3,2010-01-01,129.0,-21,-14.0,1019.0,1.0057530000000001,NW,9.84,0,0,Winter,Jan,315
4,2010,1,1,4,2010-01-01,129.0,-20,-12.0,1018.0,1.004766,NW,12.97,0,0,Winter,Jan,315
5,2010,1,1,5,2010-01-01,129.0,-19,-10.0,1017.0,1.003779,NW,16.1,0,0,Winter,Jan,315
6,2010,1,1,6,2010-01-01,129.0,-19,-9.0,1017.0,1.003779,NW,19.23,0,0,Winter,Jan,315
7,2010,1,1,7,2010-01-01,129.0,-19,-9.0,1017.0,1.003779,NW,21.02,0,0,Winter,Jan,315
8,2010,1,1,8,2010-01-01,129.0,-19,-9.0,1017.0,1.003779,NW,24.15,0,0,Winter,Jan,315
9,2010,1,1,9,2010-01-01,129.0,-20,-8.0,1017.0,1.003779,NW,27.28,0,0,Winter,Jan,315
10,2010,1,1,10,2010-01-01,129.0,-19,-7.0,1017.0,1.003779,NW,31.3,0,0,Winter,Jan,315
11,2010,1,1,11,2010-01-01,129.0,-18,-5.0,1017.0,1.003779,NW,34.43,0,0,Winter,Jan,315
12,2010,1,1,12,2010-01-01,129.0,-19,-5.0,1015.0,1.001805,NW,37.56,0,0,Winter,Jan,315
13,2010,1,1,13,2010-01-01,129.0,-18,-3.0,1015.0,1.001805,NW,40.69,0,0,Winter,Jan,315
14,2010,1,1,14,2010-01-01,129.0,-18,-2.0,1014.0,1.000818,NW,43.82,0,0,Winter,Jan,315
15,2010,1,1,15,2010-01-01,129.0,-18,-1.0,1014.0,1.000818,SW,0.89,0,0,Winter,Jan,225
16,2010,1,1,16,2010-01-01,129.0,-19,-2.0,1015.0,1.001805,NW,1.79,0,0,Winter,Jan,315
17,2010,1,1,17,2010-01-01,129.0,-18,-3.0,1015.0,1.001805,NW,2.68,0,0,Winter,Jan,315
18,2010,1,1,18,2010-01-01,129.0,-18,-5.0,1016.0,1.0027920000000001,NE,1.79,0,0,Winter,Jan,45
19,2010,1,1,19,2010-01-01,129.0,-17,-4.0,1017.0,1.003779,NW,1.79,0,0,Winter,Jan,315
20,2010,1,1,20,2010-01-01,129.0,-17,-5.0,1017.0,1.003779,SW,0.89,0,0,Winter,Jan,225
21,2010,1,1,21,2010-01-01,129.0,-17,-5.0,1018.0,1.004766,NW,1.79,0,0,Winter,Jan,315
22,2010,1,1,22,2010-01-01,129.0,-17,-5.0,1018.0,1.004766,NW,2.68,0,0,Winter,Jan,315
23,2010,1,1,23,2010-01-01,129.0,-17,-5.0,1020.0,1.00674,SW,0.89,0,0,Winter,Jan,225
24,2010,1,2,0,2010-01-02,129.0,-16,-4.0,1020.0,1.00674,SE,1.79,0,0,Winter,Jan,135
25,2010,1,2,1,2010-01-02,148.0,-15,-4.0,1020.0,1.00674,SE,2.68,0,0,Winter,Jan,135
26,2010,1,2,2,2010-01-02,159.0,-11,-5.0,1021.0,1.007727,SE,3.57,0,0,Winter,Jan,135
27,2010,1,2,3,2010-01-02,181.0,-7,-5.0,1022.0,1.008714,SE,5.36,1,0,Winter,Jan,135
28,2010,1,2,4,2010-01-02,138.0,-7,-5.0,1022.0,1.008714,SE,6.25,2,0,Winter,Jan,135
29,2010,1,2,5,2010-01-02,109.0,-7,-6.0,1022.0,1.008714,SE,7.14,3,0,Winter,Jan,135
30,2010,1,2,6,2010-01-02,105.0,-7,-6.0,1023.0,1.009701,SE,8.93,4,0,Winter,Jan,135
31,2010,1,2,7,2010-01-02,124.0,-7,-5.0,1024.0,1.010688,SE,10.72,0,0,Winter,Jan,135
32,2010,1,2,8,2010-01-02,120.0,-8,-6.0,1024.0,1.010688,SE,12.51,0,0,Winter,Jan,135
33,2010,1,2,9,2010-01-02,132.0,-7,-5.0,1025.0,1.011675,SE,14.3,0,0,Winter,Jan,135
34,2010,1,2,10,2010-01-02,140.0,-7,-5.0,1026.0,1.012662,SE,17.43,1,0,Winter,Jan,135
35,2010,1,2,11,2010-01-02,152.0,-8,-5.0,1026.0,1.012662,SE,20.56,0,0,Winter,Jan,135
